"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"104800",1,1,2,1,3,3,-0.12,5,276,5,"second","2","1",0,1,0,0,0
"104803",0,1,2,1,2,3,-0.12,5,276,5,"second","2","1",0,1,0,0,0
"104808",1,1,2,1,3,3,0.12,3,276,5,"fourth","4","2",0,1,0,0,0
"104812",0,1,2,1,3,3,-0.04,0,276,5,"fourth","4","2",0,1,0,0,0
"104816",0,1,2,1,3,3,0.2,4,276,4,"fourth","4","2",0,1,0,0,0
"104852",0,0,1,3,4,3,-0.12,3,276,4,"second","2","1",0,1,0,0,0
"104856",0,1,3,3,3,4,-0.12,1,276,5,"fourth","4","2",0,1,0,0,0
"104880",1,1,2,2,3,3,-0.36,2,276,5,"second","3","2",0,1,0,0,0
"104937",0,1,2,2,3,3,-0.36,2,276,5,"second","4","2",0,1,0,0,0
"104941",1,1,2,2,3,3,-0.04,2,276,5,"second","4","2",0,1,0,0,0
"104955",0,1,2,1,3,3,0.12,0,276,5,"fourth","4","2",0,1,0,0,0
"104961",0,1,2,3,2,3,0.04,2,276,4,"third","3","2",0,1,0,0,0
"104983",0,1,2,2,2,3,0.04,0,276,5,"fourth","4","2",0,1,0,0,0
"104986",0,1,2,1,3,3,-0.04,1,276,5,"third","3","2",0,1,0,0,0
"105034",0,1,2,1,5,2,-0.36,4,276,5,"second","2","1",0,1,0,0,0
"105037",0,1,2,5,3,3,0.44,1,276,4,"fourth","2","1",0,1,0,0,0
"105040",1,1,2,3,1,1,-0.12,2,276,4,"fourth","2","1",0,1,0,0,0
"105066",1,0,1,1,1,2,-0.12,2,276,4,"third","2","1",0,1,0,0,0
"105088",1,1,2,3,3,3,0.2,2,276,1,"fourth","4","2",0,1,0,0,0
"105092",0,1,2,2,2,2,-0.04,0,276,1,"fourth","4","2",0,1,0,0,0
"105108",0,0,1,1,3,3,0.28,0,276,2,"first","3","2",0,1,0,0,0
"105145",1,1,2,1,2,3,-0.2,1,276,5,"second","4","2",0,1,0,0,0
"105149",0,1,2,1,1,2,-0.12,0,276,5,"second","4","2",0,1,0,0,0
"105178",0,1,2,3,3,3,0.36,0,276,1,"fourth","3","2",0,1,0,0,0
"105182",1,1,2,4,3,2,0.04,1,276,1,"fourth","3","2",0,1,0,0,0
"105196",1,0,1,4,2,2,-0.12,4,276,2,"fourth","4","2",0,1,0,0,0
"105207",0,1,2,1,2,1,-0.04,3,276,4,"fourth","4","2",0,1,0,0,0
"105210",1,1,2,1,3,3,-0.36,2,276,4,"fourth","4","2",0,1,0,0,0
"105215",0,1,2,4,2,3,0.04,1,276,2,"fourth","4","2",0,1,0,0,0
"105217",1,1,2,3,1,3,0.04,3,276,2,"fourth","4","2",0,1,0,0,0
"105262",0,1,2,3,3,3,-0.2,2,276,4,"first","3","2",0,1,0,0,0
"105269",1,0,1,5,1,3,-0.12,6,276,1,"second","3","2",0,1,0,0,0
"105303",1,0,2,2,3,3,0.12,3,276,5,"first","2","1",0,1,0,0,0
"105331",0,0,1,2,3,3,-0.04,1,276,4,"first","3","2",0,1,0,0,0
"105349",0,1,3,1,3,3,0.04,3,276,5,"fourth","3","2",0,1,0,0,0
"105359",0,1,2,3,3,3,0.28,2,276,5,"fourth","3","2",0,1,0,0,0
"105361",1,1,2,3,3,2,0.28,0,276,5,"fourth","3","2",0,1,0,0,0
"105383",1,0,1,1,3,3,-0.36,1,276,4,"first","4","2",0,1,0,0,0
"105427",1,0,1,1,3,3,-0.76,2,276,3,"first","1","1",0,1,0,0,0
"105442",1,0,1,3,2,3,0.04,0,276,1,"third","4","2",0,1,0,0,0
"105447",1,1,2,3,3,3,0.36,2,276,4,"second","4","2",0,1,0,0,0
"105451",0,0,2,1,3,5,-0.68,3,276,2,"third","3","2",0,1,0,0,0
"105453",1,1,2,1,2,3,-0.12,3,276,3,"third","4","2",0,1,0,0,0
"105457",0,1,2,2,2,3,-0.12,1,276,3,"third","4","2",0,1,0,0,0
"105479",0,1,2,5,3,3,-0.04,0,276,1,"fourth","3","2",0,1,0,0,0
"105489",0,1,4,1,2,3,0.12,2,276,5,"third","3","2",0,1,0,0,0
"105493",0,1,2,1,3,3,-0.12,0,276,4,"fourth","4","2",0,1,0,0,0
"105503",1,1,2,1,3,3,-0.12,0,276,5,"third","3","2",0,1,0,0,0
"105507",0,1,2,2,2,2,-0.12,0,276,5,"third","3","2",0,1,0,0,0
