lnG_TOTAL_pc,hhsize,hhsize2,agehead,agehead2,cochabamba,oruro,potosi,tarija,santacruz,pando,chuquisaca,beni,rural,sublease,wall_brick,wall_wood,floor_dirt,floor_cement,fridge,radio,tv,dvd,fan,car,nbeds,nkitchens,ncomputers,sheep,hfem,dependratio,wardrobe,diningset,electricity,upm,estrato,hhweight,lnz_iris
4.028234,6,36,28,784,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,5,0,0,0,10034,8,1836,5.003946
5.590054,1,1,90,8100,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,10034,8,306,5.003946
3.636041,10,100,66,4356,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,10034,8,3060,5.003946
3.800831,7,49,42,1764,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,10034,8,2142,5.003946
3.954763,8,64,39,1521,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.666667,0,0,0,10034,8,2448,5.003946
4.817814,3,9,67,4489,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10034,8,918,5.003946
4.116233,9,81,47,2209,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,.5,0,0,0,10034,8,2754,5.003946
4.772449,2,4,43,1849,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10034,8,612,5.003946
5.224873,2,4,45,2025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,10034,8,612,5.003946
4.064792,6,36,58,3364,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,10034,8,1836,5.003946
5.065478,7,49,37,1369,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1.333333,0,0,0,10034,8,2142,5.003946
3.706384,10,100,44,1936,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,10052,8,3630,5.003946
3.255992,5,25,50,2500,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1.5,0,0,0,10052,8,1815,5.003946
4.061724,10,100,44,1936,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,10052,8,3630,5.003946
3.795848,7,49,47,2209,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.75,0,0,0,10052,8,2541,5.003946
3.553402,3,9,40,1600,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,10052,8,1089,5.003946
6.030284,2,4,36,1296,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,10052,8,726,5.003946
4.228688,7,49,32,1024,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,10052,8,2541,5.003946
4.999695,4,16,31,961,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,10052,8,1452,5.003946
4.511226,3,9,23,529,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,10052,8,1089,5.003946
3.805798,9,81,36,1296,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,10052,8,3267,5.003946
3.722657,4,16,73,5329,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,10052,8,1452,5.003946
3.882491,3,9,54,2916,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10052,8,1089,5.003946
4.461113,7,49,32,1024,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,2.5,0,0,0,10062,8,2464,5.003946
4.904184,7,49,45,2025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1.333333,0,0,0,10062,8,2464,5.003946
4.476723,5,25,42,1764,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,10062,8,1760,5.003946
3.894802,5,25,59,3481,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1.5,0,0,0,10062,8,1760,5.003946
3.857149,7,49,28,784,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.5,0,0,0,10062,8,2464,5.003946
3.820479,8,64,34,1156,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1.666667,0,0,0,10062,8,2816,5.003946
5.841165,5,25,70,4900,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,.6666667,1,0,0,10062,8,1760,5.003946
4.167056,9,81,42,1764,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,3.5,0,0,0,10062,8,3168,5.003946
4.617648,6,36,40,1600,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,10062,8,2112,5.003946
4.256576,4,16,34,1156,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,10062,8,1408,5.003946
4.472071,5,25,47,2209,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1.5,0,0,0,10062,8,1760,5.003946
4.483263,5,25,42,1764,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1.5,0,0,0,10062,8,1760,5.003946
6.220245,1,1,73,5329,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10076,8,321,5.003946
5.151447,4,16,70,4900,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10076,8,1284,5.003946
4.500957,4,16,21,441,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,10076,8,1284,5.003946
4.801498,3,9,29,841,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,.5,0,0,0,10076,8,963,5.003946
4.03584,4,16,33,1089,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,10076,8,1284,5.003946
4.754405,7,49,55,3025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1.333333,0,0,0,10076,8,2247,5.003946
4.532647,6,36,46,2116,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,10076,8,1926,5.003946
5.752348,5,25,51,2601,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1.5,0,0,0,10076,8,1605,5.003946
4.18388,4,16,58,3364,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,10076,8,1284,5.003946
4.181414,9,81,36,1296,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,10076,8,2889,5.003946
5.20348,2,4,55,3025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,10076,8,642,5.003946
4.827431,5,25,30,900,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1.5,0,1,0,10076,8,1605,5.003946
4.868403,5,25,37,1369,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,.6666667,0,0,0,10120,8,2710,5.003946
4.716264,3,9,70,4900,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,10120,8,1626,5.003946
5.849555,1,1,56,3136,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,10120,8,542,5.003946
5.310476,6,36,53,2809,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,4,1,0,1,0,.5,0,0,0,10120,8,3252,5.003946
5.572528,4,16,58,3364,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,10120,8,2168,5.003946
4.504628,5,25,43,1849,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1.5,0,0,0,10120,8,2710,5.003946
5.183972,4,16,26,676,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,10120,8,2168,5.003946
5.860354,4,16,51,2601,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,.3333333,0,1,0,10120,8,2168,5.003946
4.833951,6,36,58,3364,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,2,0,0,0,10120,8,3252,5.003946
4.815833,4,16,49,2401,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,10120,8,2168,5.003946
4.206002,6,36,45,2025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10120,8,3252,5.003946
5.638746,3,9,33,1089,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,.5,1,1,0,10120,8,1626,5.003946
4.308035,4,16,33,1089,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,.3333333,0,0,0,10135,8,1504,5.003946
5.430546,3,9,47,2209,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,.5,0,0,0,10135,8,1128,5.003946
4.153639,6,36,42,1764,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10135,8,2256,5.003946
5.498042,6,36,51,2601,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,10135,8,2256,5.003946
5.829791,5,25,33,1089,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,.25,1,0,0,10135,8,1880,5.003946
5.070943,4,16,45,2025,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,10135,8,1504,5.003946
4.18375,8,64,34,1156,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,10135,8,3008,5.003946
4.271889,7,49,46,2116,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1.333333,0,0,0,10135,8,2632,5.003946
3.977753,7,49,65,4225,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.5,0,0,0,10135,8,2632,5.003946
4.638558,5,25,55,3025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,.6666667,0,0,0,10135,8,1880,5.003946
5.561632,3,9,64,4096,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.5,1,0,0,10135,8,1128,5.003946
5.442104,2,4,70,4900,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,10135,8,752,5.003946
4.321358,4,16,75,5625,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,10165,8,1796,5.003946
4.204962,6,36,45,2025,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,.2,0,0,0,10165,8,2694,5.003946
5.49068,6,36,56,3136,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,1,.5,0,1,0,10165,8,2694,5.003946
4.241253,7,49,37,1369,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2.5,0,0,0,10165,8,3143,5.003946
