lnexp_pc_month,hhsize,hhsize2,agehead,agehead2,north,central,rural,nevermarried,sharenoedu,shareread,nrooms,floor_cement,electricity,flushtoilet,soap,bed,bike,musicplayer,coffeetable,iron,dimbagarden,goats,dependratio,hfem,grassroof,mortarpestle,table,clock,ea,EA,hhwght,region,eatype,psu,strataid,lnzline,case_id
6.9008956,7,49,45,2025,1,0,1,0,0,.5,2,0,0,0,0,0,1,0,0,0,0,1,2.5,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002025
7.0643778,3,9,20,400,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,.5,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002051
6.8238506,6,36,34,1156,1,0,1,0,0,.5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002072
6.8947215,6,36,42,1764,1,0,1,0,0,.5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002079
6.4659886,6,36,29,841,1,0,1,0,.40000001,.5,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002095
6.719943,3,9,24,576,1,0,1,0,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002100
6.9493566,6,36,40,1600,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002117
7.8358798,2,4,19,361,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002145
6.9861164,5,25,28,784,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1.5,1,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002157
7.4393244,3,9,71,5041,1,0,1,0,0,.5,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002168
7.3497934,2,4,19,361,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002208
7.1721287,7,49,54,2916,1,0,1,0,0,.66666669,3,0,0,0,0,0,0,0,0,0,0,1,1.3333334,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002225
7.0731244,5,25,29,841,1,0,1,0,.25,.5,2,0,0,0,0,0,1,0,0,0,0,1,1.5,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002240
7.2971992,3,9,43,1849,1,0,1,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,.5,0,1,0,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002246
7.3250523,3,9,69,4761,1,0,1,0,.5,.66666669,2,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002252
6.905571,8,64,43,1849,1,0,1,0,.2857143,.66666669,5,1,0,0,0,1,1,0,0,1,1,0,3,0,0,1,1,1,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002270
6.1395617,5,25,25,625,1,0,1,0,.25,.5,2,0,0,0,0,0,0,0,0,0,0,1,1.5,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002288
7.4304471,5,25,94,8836,1,0,1,0,.25,.5,4,0,0,0,0,0,0,0,0,0,0,1,1.5,0,1,0,0,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002312
7.3237448,5,25,31,961,1,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1.5,0,1,0,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002325
6.8557229,8,64,41,1681,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,1.6666666,0,1,1,1,0,2,10101002,129.2,North,Rural,10101002,1,7.5549998,10101002344
6.8329401,3,9,72,5184,1,0,1,0,.5,.66666669,2,0,0,0,0,0,0,0,0,0,0,0,.5,0,1,1,1,0,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003006
6.3878298,6,36,36,1296,1,0,1,0,0,.5,2,0,0,0,0,1,1,0,0,0,1,0,2,0,1,1,1,0,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003013
7.5374599,7,49,41,1681,1,0,1,0,0,1,6,0,0,0,0,1,1,0,1,1,0,0,2.5,0,0,1,1,1,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003017
7.9873815,2,4,34,1156,1,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003020
6.2839432,7,49,78,6084,1,0,1,0,.16666667,.80000001,3,0,0,0,0,0,0,0,0,0,0,0,1.3333334,0,1,1,1,0,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003035
7.0642309,3,9,79,6241,1,0,1,0,.5,0,3,0,0,0,0,1,0,0,0,0,0,0,2.5,0,0,0,0,0,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003053
7.1347518,10,100,49,2401,1,0,1,0,0,1,4,0,0,0,1,1,1,1,0,1,0,1,1.5,0,1,1,1,1,3,10101003,129.2,North,Rural,10101003,1,7.5549998,10101003062
